id,text,like_count,commentor,is_favorited,is_pinned,is_comment,comments,musical
Ugw0jKblTORhZpneO9V4AaABAg, @twist_ending7545  I didn’t know whether youtube would delete my comment if I did lol,0,@chuualwayswins,False,False,True,3,Nerdy Prudes
Ugw0jKblTORhZpneO9V4AaABAg, @chuualwayswins  lol. YouTube isn't as particular about language as apps like tiktok are,0,@twist_ending7545,False,False,True,3,Nerdy Prudes
UgyQZlQmHWbGMMR14GN4AaABAg,1:23:53 ARIANA WHAT ARE YOU DOING HERE???,1,@chuualwayswins,False,False,False,1,Nerdy Prudes
UgyQZlQmHWbGMMR14GN4AaABAg,What?,0,@twist_ending7545,False,False,True,1,Nerdy Prudes
Ugzy_e1WHMy201lpO7p4AaABAg,1:21:34 love the harmony here omg,2,@chuualwayswins,False,False,False,1,Nerdy Prudes
Ugzy_e1WHMy201lpO7p4AaABAg,it’s in my head rn.,0,@DevilDarling21,False,False,True,1,Nerdy Prudes
UgxAITeEzFtiJqaZg1x4AaABAg,"okokokok small detail but its driving me crazy not to comment on it
the backpack Grace has on at the end really shouldve been green, or straight up the Wiggly backpack 
especially for it to house the Black Book
(also ik its Grace and that shes a girl on a mission, but who tf brings a backpack or homecoming/a school dance??)

from a meta reusing props and set piece POV, and to tie to her wrathful takeover
ik Max and there for Grace's powers arent tied to one LIB in specific, but to me its implied that he would favor Graces sycophancy that he can most easily manipulate into blind wrath
aughhh god i will never get enough of Hatchetfield shit lmao 😩",2,@RozehKakes,False,False,False,1,Nerdy Prudes
UgxAITeEzFtiJqaZg1x4AaABAg,"Yeah, that would've been cool. But it would've spoiled her turn to the lords a bit before the reveal.",1,@twist_ending7545,False,False,True,1,Nerdy Prudes
Ugw9OFpkwxrpwfmBtq94AaABAg,"I love so much the costumes of the lords of black????? I can't stop thinking about how colorful they are, and the detail that between The Black and The White, they are the colors",21,@pazuzun,True,False,False,0,Nerdy Prudes
Ugyk6ZoFCVzQ2SfK_ct4AaABAg,What?,0,@twist_ending7545,False,False,True,2,Nerdy Prudes
Ugyk6ZoFCVzQ2SfK_ct4AaABAg," @twist_ending7545  Grace was going to take sanctuary at a church, which at older times when we still had those door hoops used for knocking thingy, was legal and an actual thing. 

If you were a criminal and you were chased to a church or a monastery, as long as you held on to the door hoop knocker, you were saved from the popo of the olden days for a short time as holding onto them would mean that they wanted to enter and the popo just...let them get away until the sanctuary time frame was over, which means that its another chase.",0,@sinneria,False,False,True,2,Nerdy Prudes
UgxPBI9JOeY22uCgmJ14AaABAg,Richie is so neurodivergent 🤣🤣🤣,3,@jovibeanz5561,False,False,False,1,Nerdy Prudes
UgxPBI9JOeY22uCgmJ14AaABAg,Ruth too honestly,0,@twist_ending7545,False,False,True,1,Nerdy Prudes
Ugygq3ocJRx9VnDWpS94AaABAg,"It would be hilarious if Clivesdale is just the nicest town ever, and Hatchetfield loathes them just because 😂",8,@iamchill549,False,False,False,0,Nerdy Prudes
Ugw2vDVAmBpFdha8INZ4AaABAg,"When they went into the woods, am I the only one who thought they were going to run into Professor Hidgens?",4,@Tommedian,False,False,False,0,Nerdy Prudes
Ugy-kt6zrBBUxERohv54AaABAg,I like an instrumental version of cup of poison coffee is in the background of the scene at beanie’s,4,@Tommedian,False,False,False,0,Nerdy Prudes
UgxffmhD5nOBkR_MNZZ4AaABAg,Every hatchetfeild musical has a new piece of fake media that I want to be real,4,@Tommedian,False,False,False,0,Nerdy Prudes
Ugy2lxi7h1iw0s505hJ4AaABAg,"I like that Grace has the weakest reason for hating max, yet she is the only one okay with killing him",114,@Tommedian,False,False,False,0,Nerdy Prudes
Ugxoxdj9_SUKRyJ8S654AaABAg,"Ok i found this musical randomly one day and decided to watch it cause i was bored. I thought it was gonna be a one and done thing and i wouldnt think about it again. OH BOY WAS I WRONG. Since then, in the span of like a month and a half, ive watched this 3 times, black friday, the guy who didnt like musicals twice, all of nightmare time one and two, and every other starkid play except for mamd, and ive watched spies are forever. Literally all i can do when i have free time is watch starkid stuff or listen to their music, im genuinely being brainwashed into the church of the starry children cause this theater group has taken over my life in the best way possible and im not mad about it. All of the musicals are so good to say the very least (and quotable) and um yeah im only A LITTLE obsessed, but def worth it",16,@sirlilius,False,False,False,3,Nerdy Prudes
Ugxoxdj9_SUKRyJ8S654AaABAg,one of us! one of us!,2,@trangdang9705,False,False,True,3,Nerdy Prudes
Ugxoxdj9_SUKRyJ8S654AaABAg, @trangdang9705  I've joined the hivemind,1,@sirlilius,False,False,True,3,Nerdy Prudes
Ugxoxdj9_SUKRyJ8S654AaABAg,"Watch ""The Solve-It Squad Returns!"" It's really good imo",0,@twist_ending7545,False,False,True,3,Nerdy Prudes
UgzL8EKWvNIqlix035d4AaABAg,"""The nightmare started there but now has spreeEEAAAD""
I love Jon's vocals",4,@AndresGodoyMagaldi,False,False,False,0,Nerdy Prudes
UgyAunO-v_4y4jMS_ft4AaABAg,"Sorry but 6th month since the release and still not subtitle than english... that make me sad to miss a starkid production 
Is sub planned ?",1,@11Foxus,False,False,False,0,Nerdy Prudes
UgyYFmJgFMrroVMdiEZ4AaABAg,m,0,@zeddy2284,False,False,False,0,Nerdy Prudes
UgxjBQuKxQKJVsEUmgt4AaABAg,"ruths solo killed me. nothing hurt more than the final verse. ""i used to dance"" ?? damn girl. didnt know you did it like that",18,@beeplayingviolin96,False,False,False,0,Nerdy Prudes
UgwvURd_9JTSZBIRoJZ4AaABAg,"This was phenomenal! The lords in black song is utterly brilliant, I loved it!",3,@raptyrn1290,False,False,False,0,Nerdy Prudes
UgySxW11JnTbYRvQzyN4AaABAg,Love this show,2,@parkerhinkley8271,False,False,False,0,Nerdy Prudes
Ugy4gUu9lyG7SWG6hmd4AaABAg,Loving the references to the guy who didn't like musicals,2,@leannebyles156,False,False,False,0,Nerdy Prudes
UgzFMu7n1QvMtBk8VXB4AaABAg,dirty girl is my song of the decade,7,@anks4572,False,False,False,0,Nerdy Prudes
Ugw6j-3gDI15sDNPu1t4AaABAg,I NEED TO GET A GROUP TOGETHER FOR A LORDS IN BLACK COSPLAY HOLY SHIT,9,@kalikaku5954,False,False,False,0,Nerdy Prudes
UgzdYHy1Fc70eZjAk2h4AaABAg,Alguien que me llame cuando esto tenga subtitulos al español plz 😭😭😭😭😭,1,@Lem_de_Lemon,False,False,False,4,Nerdy Prudes
UgzdYHy1Fc70eZjAk2h4AaABAg,Pone los subtitulos en ingles y despues   pone traduccion automatica a español,0,@BlueBird-0f-Gaming,False,False,True,4,Nerdy Prudes
UgzdYHy1Fc70eZjAk2h4AaABAg, @BlueBird-0f-Gaming  No me funciona e igualmente lo decía porque algunos de sus shows anteriores los tienen,0,@Lem_de_Lemon,False,False,True,4,Nerdy Prudes
UgzdYHy1Fc70eZjAk2h4AaABAg,"The ""bean school"" bit can't be translated.",3,@twist_ending7545,False,False,True,4,Nerdy Prudes
UgzdYHy1Fc70eZjAk2h4AaABAg, @twist_ending7545  but can be adapted maibe,0,@Lem_de_Lemon,False,False,True,4,Nerdy Prudes
UgyrnvPsuHwABgPuTVh4AaABAg,"i wish i could like this video 5,000 times",3,@gottagoquack,False,False,False,0,Nerdy Prudes
UgxtioTi6g5uAUjUxPx4AaABAg,Angela <3,4,@Evacollinsgould,False,False,False,0,Nerdy Prudes
Ugw7utflUf-TnAYrQMN4AaABAg,When’s the music coming out on Spotify!?! I need it!,4,@LiliaMagdalena801,False,False,False,0,Nerdy Prudes
UgzRXnbNy3dZmaai_zt4AaABAg,"I never realized that in highschool is killing me Grace coveres her mouth when they say the ""Im so fucking dead""",11,@sophietruskoski6883,False,False,False,0,Nerdy Prudes
Ugxe8omBcU2twQjLXjd4AaABAg,I screamed when Pete appeared and complained about his hot chocolate 😂 Such smart writing!!,7,@kayleighosborne415,False,False,False,0,Nerdy Prudes
UgxTG_ro6N73I1ZXRLF4AaABAg,YOU CAN PUT CHAPTERS ON REPEAT?!?!? EVERYONE SHUT THE FUDGE UP WHILE I LISTEN TO LAUREN ABSOLUTELY CRUSHING IT,5,@CherriPopSoda,False,False,False,0,Nerdy Prudes
UgwwQHBE64vU-niXmC14AaABAg,I accidentally hit reply… 3 times now… I might be obsessed…,3,@CherriPopSoda,False,False,False,0,Nerdy Prudes
UgxoagSnJBRDioptZtl4AaABAg,"""So you do know the bible.""",12,@Worry-Panic,False,False,False,0,Nerdy Prudes
UgxRojECqjfIl3P16Q54AaABAg,"for someone who makes fun of theatre, max sure does know a lot about the technical terms",6,@nixsharp8229,False,False,False,2,Nerdy Prudes
UgxRojECqjfIl3P16Q54AaABAg,He knows a lot about the Bible too. I think he does research lmao,1,@twist_ending7545,False,False,True,2,Nerdy Prudes
UgxRojECqjfIl3P16Q54AaABAg,"To be the best bully you gotta know your opponent, Jaegerman ain't half assing shit 😌💅",0,@bluefeatherdark,False,False,True,2,Nerdy Prudes
UgxFWvAll859QStY2A14AaABAg,"came for Angela, stayed for the whole thing. so much love for this show & all performers, I loved it <3",6,@grille0904,False,False,False,0,Nerdy Prudes
Ugx9rFD2a3trZHvAMM94AaABAg,I FUCKIN LOVE RUTH,2,@shayorithecat2819,False,False,False,0,Nerdy Prudes
Ugw93dvDeFKsfhQrLPZ4AaABAg,I’ll never get over this,1,@hufflepuffwannabe,False,False,False,0,Nerdy Prudes
Ugy6ZRQC7Nnn2O6qZX94AaABAg,1:29:20,0,@toastbud6870,False,False,False,0,Nerdy Prudes
UgwCyhaqzO_iKs6xnCh4AaABAg,48:50 brooo i’m rewatching this!! iykyk i love how interwoven the stories are.,2,@dagnyholt8705,False,False,False,0,Nerdy Prudes
UgwS2T_NOacSMimJVK54AaABAg,"DAN AND DONNA, ZIGGY, MAN IN A HURRY, GERALD, CHARLES AH",5,@kayleighosborne415,False,False,False,0,Nerdy Prudes
UgwxPvCV-VBjEFesyAN4AaABAg,Imagine a whole new musical about bbq 🍗 made by starkid and this is just an advertisement for it 😂,3,@trippzeleskey2612,False,False,False,0,Nerdy Prudes
UgxgBsY53F57hgVnio54AaABAg,I always like to think hatchet town is what the place was called after the weylands were killed.,5,@BlitzBat313,False,False,False,3,Nerdy Prudes
UgwVAoEBB2I8UHSoefZ4AaABAg,"""There's a story behind every burger. Every ✨️kah-bob✨️"" will always be my favorite quote from this show. I will always respect how he managed to stay in character bc i would have died on the spot",4,@taylordouthit3397,False,False,False,0,Nerdy Prudes
UgyePxNX945XiZRojv54AaABAg,steph is literally my she/he/they gf whos also my bf u just wouldnt understand i fear,7,@tubatump4,False,False,False,0,Nerdy Prudes
Ugy_h9I44wfsMwQNdkB4AaABAg,"""Wow, 'Nerdy Prudes Must Die' is an absolute rollercoaster of emotions and thrills! 🎭🔪 Team StarKid never disappoints with its unique blend of comedy, horror, and musical genius. The performances were outstanding, and the songs are still stuck in my head days after watching! 🎶💀 Will definitely be adding this original cast recording to my collection. Bravo to everyone involved for creating such an unforgettable experience!",4,@GeekNotice,False,False,False,0,Nerdy Prudes
UgwDC0kN-ykhOJnK2Sx4AaABAg,Max is such a simp for Grace❤😂,6,@tOtAlLyNoToBsEsSEd07,False,False,False,0,Nerdy Prudes
Ugx8Lzqr4GDkpDlhik94AaABAg,Honestly severe lack of Jeff blim,7,@finalground5419,False,False,False,0,Nerdy Prudes
UgyYuemZbTLh-pUUgeJ4AaABAg,"""Why don't you date someone like grace chastity?""  ... UHHHHH",8,@zeichenlily435,False,False,False,0,Nerdy Prudes
UgyYINXRq7AYYGt0LQR4AaABAg,1:29:07,0,@williamlujan900,False,False,False,0,Nerdy Prudes
UgyZYLiscLorQe5hm7p4AaABAg,"2:02:33 what the terezi pyrope.
also trickster looking as mfs?",4,@caligulasAquarius,False,False,False,0,Nerdy Prudes
UgwOdszZvE51LJMePIx4AaABAg,No but why dis Angela kill the Dirty Dues Must Die song😂❤,6,@tOtAlLyNoToBsEsSEd07,False,False,False,0,Nerdy Prudes
UgwpSC8sU0f3hQ7OF7x4AaABAg,"The Lords in Black taking super colorful forms is so interesting. They sing about being shrouded in black and wearing black robes, but given the choice they deck themselves out in color.",16,@JonathanYeets,False,False,False,0,Nerdy Prudes
UgyKm28rFDkfDN1RRtZ4AaABAg,the foreshadowing with max is so good!!! “i’ll only rest once i have chastity” and “i am expecting you to betray me” are the ones that caught my attention as i’m bouncing around scenes,641,@mollymyers4173,False,False,False,1,Nerdy Prudes
UgyKm28rFDkfDN1RRtZ4AaABAg,they also foreshadow the first two dead at the very start with richie & ruth,42,@sirpumpkinspice9483,False,False,True,1,Nerdy Prudes
Ugxad8CsNj_EWX5k7zV4AaABAg,"I wish I could like this video more than once. So many bangers, such a great story and theme and characters! I loved it!",7,@KelseyMcGween,False,False,False,0,Nerdy Prudes
UgxaJYlJKc-O81BleRd4AaABAg,THE MUSIC AAAAAH MY F*CKING GOD,4,@barbarapatino5458,False,False,False,0,Nerdy Prudes
UgzK-RXp-hmgFVb46254AaABAg,"I've been a Starkid fan since I was 15 and a horror fan since I was 12, so this is a gift from heaven (hell). Just wow.",3,@barbarapatino5458,False,False,False,0,Nerdy Prudes
Ugw6O_MRHvDSk2PvyNh4AaABAg,"Some of my thoughts while watching this:

20:25 NOT THE BODY PILLOWS LMAOOO also i love how they're not going with the stereotypes of horny teen boy and shy smart girl so far
23:30 joey really is carrying (and i love it)
25:08 so relatable
28:55 it's so uncanny to me how wills side profile looks so similar to jeffs
30:33 LMAOO i so didn't see that one coming
30:43 same girl, same
33:08 i've never heard this song before but i already know it's gonna be a banger
34:50 dayum
36:05 it's so expressive i love it
36:20 told you this was gonna be a banger
37:16 this is funny out of context
37:43 is it just gonna be grace on a murder spree?
38:28 is this just gonna be a trope now-
39:20 omg i can't, jon just said ""wifu material"" which is something i never would've even dreamt of happening
40:12 noooo joey are you okayyy
43:08 please tell me this has become a meme
46:32 i will be quoting this on a daily basis
48:41 i love that line so much
48:51 IS THIS A TGWDLM REFERENCE??
53:11 surprisingly wholesome
55:09 aaand here we have the title, nice
56:44 lmaoo so true
57:47 holy shit this is uhh very concerning
58:12 isn't this the same sound as in TGWDLM w dan and donna? 
58:21 IT IS STILL DAN AND DONNA OMG
59:01 just a lil corey apprechiation moment
1:03:05 epic
1:04:27 LMAOO NOT CLIVESDALE AGAIN
1:05:27 omgg that's so cute i can't
1:06:12 that's some real bro bond right there
1:07:21 I knew it wouldn't fucking last, it never does with hatchetfield
1:07:57 YOOOOOOOOO
1:08:48 SMOKE CLUB REFERENCE LESGOOOO
1:09:00 the notes of ""run for their lives"" immediately reminded me of the NMT intros. Also incredible acting on jons part in this specific scene
1:11:22 NMT THEME MUSICCCCC
1:16:30 okay my guess is that the cops are actually talking about rickie (idk jons character) but the gang thinks they're talking about max
1:17:20 booooom i got it right
1:20:06 my man, after all the shows we already got on hatchetfield, i doubt that it ever was safe
1:20:58 ahghgh this makes me so happy
1:22:14 YOOO I LITERALLY SCREAMED ZIGGY IS BACK HOLY FUCK THIS IS WONDERFUL
1:22:23 THE MAN IN A HURRY WOHOOO
1:22:50 JAMES TOLBERT IS HERE TOO WTH THIS IS SO COOL
1:23:04 that is some awesome voice power my goodness
1:23:43 AAAAAAINT NO FUCKIN WAY IT'S GERALD JKJDSKJDSKJSDJKSD
1:26:29 this is so out of context, even in context i love it so much this is the kinda starkid stuff i missed in black friday
1:40:24 JAZZ HANDS INTROOO
1:40:43 AINT NO WAY, I DID NOT SEE THIS COMING JKSDJKJSDKJSDKJSD
1:41:18 i screamed just as loud as the audience THIS IS SO GOOD
 1:41:51 HOLY MOTHERFUCKER FLIPPER THIS IS SUCH A PLOT TWIST, ALL THE NEW PERSPECTIVES AND TIMELINES OMG
1:43:16 this is a remake of stutter 13 years later and you cannot convince me otherwise
1:46:21 ""she's bisexual and dead, where else would she be"" LMAOO I CANNOT, AS A BISEXUAL I MUST QUOTE THIS DAILY NOW
1:50:38 oh my oh my, this is gonna get spicy
1:53:50 THE LORDS IN BLACK ARE BACKKKK
1:57:16 LMAOO you go grace
1:58:30 geez, so much murder
2:00:39 WIGGLYYYYYYY
2:11:10 you cannot do this to me omg i'm crying over here you can't just start beatboxing omg
2:11:25 okay okay hear me out, couldn't grace and max have their little lovey dovey story and steph and pete can both live and go to homecoming together? Like, that would be so nice and peaceful. Horny is more powerful than homicide lmao. I don't think they're gonna go w the peaceful, happy ending though, they never do that
2:24:40 damn, was i actually right?? aint no way HATCHETFIELD has a good ending... i can't believe it

Well damn, this was awesome! I expected the theme to be darker, like black friday and the nightmare time series, but to me it feels a bit more like some of the older shows starkid has produces, which i am also very happy about. The music was great, although not as diverse as other shows, but it didn't bother me at all. The sound quality was astounding. Acting was on point. This almost felt more like a movie than a musical, due to the impressive video quality, as well as the way it was edited. The vocal performance of everybody was incredible. I liked the choreo a lot as well. Very well done everyone! I really hope to see more in the future! <3",11,@fayflurina3382,False,False,False,0,Nerdy Prudes
UgzUOvwTBFjYdFJvKV14AaABAg,"In the end maybe instead of excepting losing her virginity instead they took her “purity” and that’s why she turned evil, I’m going to be honest she has something dark inside her from the beginning maybe that’s what comes forward to fill the void left or was no longer being held back by her self restraint",6,@arizonaranger9189,False,False,False,0,Nerdy Prudes
UgywAjhb_hccf9hoGC54AaABAg,The Starry Children = Starkid,13,@jengatower,False,False,False,1,Nerdy Prudes
UgywAjhb_hccf9hoGC54AaABAg,i knew it was a cult all along-,3,@fayflurina3382,False,False,True,1,Nerdy Prudes
Ugx81Y3QHDuH_n9witN4AaABAg,1:00:23,0,@needmesomebones,False,False,False,0,Nerdy Prudes
UgxJ1k-os53XTkzhX5x4AaABAg,"Okay my thing is that if they had just left the body alone, then it would have just looked like Max just went to an abandoned house drunk and slipped. Like it wouldn’t affect anything but just a thought. We wouldn’t get that banger of a song tho",7,@totally_a_real_account7902,False,False,False,3,Nerdy Prudes
Ugxk283t-nfNjMLt6c14AaABAg,"""The souls of the pervs makes me strong!!!!!"" 
Best twist of all time!",2,@kayrose3384,False,False,False,0,Nerdy Prudes
UgzJjDlI3voj7LN6dCF4AaABAg,"1:10:26 God DAMN that note. I think this is the best music Starkid has ever made for a musical imo
Edit 1:33:05 another great note",12,@pastelguts6182,False,False,False,0,Nerdy Prudes
UgzWsepsGKrBlo0p5R14AaABAg,Joey is giving full Spencer Reid,1,@20KadamsMaclay00,False,False,False,0,Nerdy Prudes
Ugz-Off99BdrQK8K_-t4AaABAg,Is it just me or is the audio really crunchy,1,@yemmie,False,False,False,0,Nerdy Prudes
UgwlxIoZB-_lZNlYcn94AaABAg,"I'm back once again to rewatch the summoning, and you can't stop me!",6,@Nattyzeenha,False,False,False,0,Nerdy Prudes
UgzNa6F_ITR2LroKKhZ4AaABAg,I’d like to appreciate the sheer brilliance of having Max say skele’on like the average high school bully for some reason always seems to. We love it. Will just kills it in general with this role.,23,@chickenelafsworld7105,False,False,False,0,Nerdy Prudes
UgzuGDafdcrAyy2J3Jt4AaABAg,Grace chasity was a certified menace,2,@leigh42,False,False,False,0,Nerdy Prudes
UgzNqHfA-e6ig1kYonR4AaABAg,1:34:39 mimics creaming 😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰,5,@r0sierosierosie,False,False,False,1,Nerdy Prudes
UgzNqHfA-e6ig1kYonR4AaABAg,Oh jesus christ I love subtitles,0,@diromiz,False,False,True,1,Nerdy Prudes
UgyID-OF4mzJwOUCHDl4AaABAg,i’ve watched this 3 times and i still burst into tears at the the “cool as i think i am reprise” EVERY TIME,13,@kirrahasariddle,False,False,False,1,Nerdy Prudes
UgyID-OF4mzJwOUCHDl4AaABAg,It's so good 😢,1,@mrh8142,False,False,True,1,Nerdy Prudes
UgxFKhiuF4oeFkpmJW54AaABAg,NOBODY TALKS ABOUT THE TWISTED REFERENCE AT 1:49:25,15,@SentientIrisu,False,False,False,1,Nerdy Prudes
UgxFKhiuF4oeFkpmJW54AaABAg,?,1,@Maaaaylen,False,False,True,1,Nerdy Prudes
UgzBypHJudGVuU1dgHF4AaABAg,"1:07:19 oh that's nice, everyone wins... The video isn't half over yet.

nooooooo",5,@isabellaknight04,False,False,False,0,Nerdy Prudes
UgzlLGN-jhnvLef4zw54AaABAg,"KIM WHALEN MADAM, YOUR VOICE SENDS ME TO HEAVEN!!!!",5,@ZahniyahDarrell,False,False,False,0,Nerdy Prudes
UgyzcDNnTTupkKHpnQt4AaABAg,"Every single song in this show is a fucking banger, but nerdy prudes must die and dirty dudes must die have to be my favorite. The “who will pray for you” gives me fucking chillsss",7,@caspianroses4940,False,False,False,0,Nerdy Prudes
Ugy26Pa0r9yFlfsRw1V4AaABAg,"the only Hachetfield universe without Genra MacNamara - he would NEVER let that happen, but the price would be Stephanie’s phone 😭",2,@blythe9567,False,False,False,0,Nerdy Prudes
UgwZRbCUcXAnsGoUIGZ4AaABAg,"""Oh boy, a Spankoffski! I'm gonna have the whole set in my toy box!"" made me SCREAM fuck I love the literal years of build up to this whole song but SPECIFICALLY you leave that boy and his horny brother ALONE (too late, i know)",141,@edgarallennope,False,False,False,3,Nerdy Prudes
UgwZRbCUcXAnsGoUIGZ4AaABAg,Does this have to do with Nightmare Time? I didn’t see it,1,@coopahtroopah1175,False,False,True,3,Nerdy Prudes
UgwZRbCUcXAnsGoUIGZ4AaABAg,"​ @coopahtroopah1175 Tinky (T'now Karaxis) trapped Ted Spankoffski (Ted from TGWDLM, Peter's older brother) in his time box and split him across every single Hatchetfield timeline, breaking his brain and turning him into the homeless man (which is also why Ritchie comments that Peter looks like him, all played by Joey Richter)",19,@edgarallennope,False,False,True,3,Nerdy Prudes
